"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake"
nynyma_rec0040_3_06581_0039�,"1939-1941",Brooklyn,6581,39.00,,,,,,,,false
nynyma_rec0040_3_06581_0041�,"1939-1941",Brooklyn,6581,41.00,,,,,,,,false
nynyma_rec0040_3_06581_0048�,"1939-1941",Brooklyn,6581,48.00,,,,,,,,false
nynyma_rec0040_3_06558_0068�,"1939-1941",Brooklyn,6558,68.00,"2331","2331",false,"64 Street","2331 64 Street",,,false
nynyma_rec0040_3_06568_0016�,"1939-1941",Brooklyn,6568,16.00,"1320","1320",true,Ocean Parkway,"1320 Ocean Parkway",,,false
nynyma_rec0040_3_00657_0055�,"1939-1941",Brooklyn,657,55.00,"175","175",false,"27 Street","175 27 Street",,,false
nynyma_rec0040_3_06581_0028�,"1939-1941",Brooklyn,6581,28.00,,,,West 4 Street,West 4 Street,,,false
nynyma_rec0040_3_06581_0033�,"1939-1941",Brooklyn,6581,33.00,,,,,,,,false
nynyma_rec0040_3_06581_0043�,"1939-1941",Brooklyn,6581,43.00,,,,,,,,false
nynyma_rec0040_3_06581_0045�,"1939-1941",Brooklyn,6581,45.00,,,,,,,,false
nynyma_rec0040_3_06581_0047�,"1939-1941",Brooklyn,6581,47.00,,,,,,,,false
nynyma_rec0040_3_06581_0050�,"1939-1941",Brooklyn,6581,50.00,,,,,,,,false
nynyma_rec0040_3_06581_0008�,"1939-1941",Brooklyn,6581,8.00,"2358","2358",true,"65 Street","2358 65 Street",,,false
nynyma_rec0040_3_06581_0019�,"1939-1941",Brooklyn,6581,19.00,"185","185",false,Avenue O,"185 Avenue O",,,false
nynyma_rec0040_3_06581_0021�,"1939-1941",Brooklyn,6581,21.00,,,,Avenue O,Avenue O,,,false
nynyma_rec0040_3_06581_0022�,"1939-1941",Brooklyn,6581,22.00,,,,Avenue O,Avenue O,,,false
nynyma_rec0040_3_06581_0034�,"1939-1941",Brooklyn,6581,34.00,,,,,,,,false
nynyma_rec0040_3_06581_0035�,"1939-1941",Brooklyn,6581,35.00,,,,,,,,false
nynyma_rec0040_3_06581_0036�,"1939-1941",Brooklyn,6581,36.00,,,,,,,,false
nynyma_rec0040_3_06581_0037�,"1939-1941",Brooklyn,6581,37.00,,,,West 3 Street,West 3 Street,,,false
nynyma_rec0040_3_06615_0022�,"1939-1941",Brooklyn,6615,22.00,,,,East 9 Street,East 9 Street,,,false
nynyma_rec0040_3_06619_0040�,"1939-1941",Brooklyn,6619,40.00,,,,Kings Highway,Kings Highway,,,false
nynyma_rec0040_3_06619_0012�,"1939-1941",Brooklyn,6619,12.00,"1616","1616",true,West 12 Street,"1616 West 12 Street",,,false
nynyma_rec0040_3_00664_0009�,"1939-1941",Brooklyn,664,9.00,,,,,,,,false
nynyma_rec0040_3_06645_0022�,"1939-1941",Brooklyn,6645,22.00,"1736","1736",true,West 11 Street,"1736 West 11 Street",,,false
nynyma_rec0040_3_06644_0040�,"1939-1941",Brooklyn,6644,40.00,"1784","1784",true,West 12 Street,"1784 West 12 Street",,,false
nynyma_rec0040_3_06766_0015�,"1939-1941",Brooklyn,6766,15.00,"1992","1992",true,Ocean Avenue,"1992 Ocean Avenue",,,false
nynyma_rec0040_3_06766_0024�,"1939-1941",Brooklyn,6766,24.00,"2014","2014",true,Ocean Avenue,"2014 Ocean Avenue",,,false
nynyma_rec0040_3_06774_0056�,"1939-1941",Brooklyn,6774,56.00,"1991","1991",false,Coney Island Avenue,"1991 Coney Island Avenue",,,false
nynyma_rec0040_3_06783_0012�,"1939-1941",Brooklyn,6783,12.00,"1732","1732",true,Kenmore Place,"1732 Kenmore Place",,,false
nynyma_rec0040_3_06885_0023�,"1939-1941",Brooklyn,6885,23.00,"51","51",false,"27 Avenue","51 27 Avenue",,,false
