"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake","deleted"
nynyma_rec0040_4_10899_0001_w4.jpg,"1939-1941",Queens,10899,1.00,,,,,,,,false,true
nynyma_rec0040_4_10900_0015_w4.jpg,"1939-1941",Queens,10900,15.00,,,,,,,,false,true
nynyma_rec0040_4_10900_0005_w4.jpg,"1939-1941",Queens,10900,5.00,,,,,,,,false,true
nynyma_rec0040_4_10907_0015_w4.jpg,"1939-1941",Queens,10907,15.00,"10918","10918",true,"205 Street","10918 205 Street",,,false,true
nynyma_rec0040_4_10910_0034_w4.jpg,"1939-1941",Queens,10910,34.00,"20607","20607",false,"109 Avenue","20607 109 Avenue",,,false,true
nynyma_rec0040_4_11538_0007_w4.jpg,"1939-1941",Queens,11538,7.00,,,,,,,,false,true
nynyma_rec0040_4_11543_0001_w4.jpg,"1939-1941",Queens,11543,1.00,,,,,,,,false,true
nynyma_rec0040_4_11758_0089_w4.jpg,"1939-1941",Queens,11758,89.00,,,,"135 Street","135 Street",,,false,true
nynyma_rec0040_4_11775_0029_w4.jpg,"1939-1941",Queens,11775,29.00,,,,,,,,false,true
nynyma_rec0040_4_11919_0055_w4.jpg,"1939-1941",Queens,11919,55.00,,,,,,,,false,true
nynyma_rec0040_4_11919_0205_w4.jpg,"1939-1941",Queens,11919,205.00,,,,,,,,false,true
nynyma_rec0040_4_11920_0074_w4.jpg,"1939-1941",Queens,11920,74.00,,,,,,,,false,true
nynyma_rec0040_4_11920_0089_w4.jpg,"1939-1941",Queens,11920,89.00,,,,,,,,false,true
nynyma_rec0040_4_11920_0049_w4.jpg,"1939-1941",Queens,11920,49.00,,,,,,,,false,true
nynyma_rec0040_4_04321_0634.jpg,"1939-1941",Queens,4321,634.00,,,,Damson Street,Damson Street,,,false,true
nynyma_rec0040_5_00236_0036.jpg,"1939-1941",Staten Island,236,36.00,"822","822",true,Post Avenue,"822 Post Avenue",,,false,true
nynyma_rec0040_4_10862_0061_w4.jpg,"1939-1941",Queens,10862,61.00,"19501","19501",false,"104 Avenue","19501 104 Avenue",,,false,true
nynyma_rec0040_4_10863_0014_w4.jpg,"1939-1941",Queens,10863,14.00,"10018","10018",true,"197 Street","10018 197 Street",,,false,true
nynyma_rec0040_4_10863_0062_w4.jpg,"1939-1941",Queens,10863,62.00,"10011","10011",false,"196 Street","10011 196 Street",,,false,true
nynyma_rec0040_4_10868_0042b_w4.jpg,"1939-1941",Queens,10868,42.00,"20103","20103",false,"104 Avenue","20103 104 Avenue",,,false,true
nynyma_rec0040_4_10869_0040_w4.jpg,"1939-1941",Queens,10869,40.00,"20205","20205",false,"104 Avenue","20205 104 Avenue",,,false,true
nynyma_rec0040_4_10864_0057a_w4.jpg,"1939-1941",Queens,10864,57.00,"10025","10025",false,"197 Street","10025 197 Street",,,false,true
nynyma_rec0040_4_10868_0013_w4.jpg,"1939-1941",Queens,10868,13.00,"10014","10014",true,"202 Street","10014 202 Street",,,false,true
nynyma_rec0040_4_10865_0038_w4.jpg,"1939-1941",Queens,10865,38.00,"10057","10057",false,"104 Avenue","10057 104 Avenue",,,false,true
nynyma_rec0040_4_10869_0050_w4.jpg,"1939-1941",Queens,10869,50.00,"10037","10037",false,"202 Street","10037 202 Street",,,false,true
nynyma_rec0040_4_10868_0056_w4.jpg,"1939-1941",Queens,10868,56.00,"10025","10025",false,"201 Street","10025 201 Street",,,false,true
nynyma_rec0040_4_10868_0017_w4.jpg,"1939-1941",Queens,10868,17.00,"10022","10022",true,"202 Street","10022 202 Street",,,false,true
nynyma_rec0040_4_10870_0041_w4.jpg,"1939-1941",Queens,10870,41.00,"203","03",false,"104 Avenue","203-03 104 Avenue",,,false,true
nynyma_rec0040_4_10871_0024_w4.jpg,"1939-1941",Queens,10871,24.00,"10036","10036",true,"205 Street","10036 205 Street",,,false,true
nynyma_rec0040_4_10870_0028_w4.jpg,"1939-1941",Queens,10870,28.00,"10046","10046",true,"204 Street","10046 204 Street",,,false,true
nynyma_rec0040_4_10870_0037_w4.jpg,"1939-1941",Queens,10870,37.00,"20309","20309",false,"104 Avenue","20309 104 Avenue",,,false,true
nynyma_rec0040_4_10872_0020_w4.jpg,"1939-1941",Queens,10872,20.00,"10028","10028",true,"205 Place","10028 205 Place",,,false,true
nynyma_rec0040_4_10875_0044_w4.jpg,"1939-1941",Queens,10875,44.00,"10047","10047",false,"207 Street","10047 207 Street",,,false,true
nynyma_rec0040_4_10871_0003_w4.jpg,"1939-1941",Queens,10871,3.00,"20408","20408",true,"100 Avenue","20408 100 Avenue",,,false,true
nynyma_rec0040_4_10872_0035_w4.jpg,"1939-1941",Queens,10872,35.00,"20515","20515",false,"104 Avenue","20515 104 Avenue",,,false,true
nynyma_rec0040_4_10872_0060_w4.jpg,"1939-1941",Queens,10872,60.00,"10015","10015",false,"205 Street","10015 205 Street",,,false,true
nynyma_rec0040_4_10873_0057_w4.jpg,"1939-1941",Queens,10873,57.00,"10015","10015",false,"205 Place","10015 205 Place",,,false,true
nynyma_rec0040_4_10873_0059_w4.jpg,"1939-1941",Queens,10873,59.00,"10011","10011",false,"205 Place","10011 205 Place",,,false,true
nynyma_rec0040_4_10874_0041_w4.jpg,"1939-1941",Queens,10874,41.00,"206","01",true,"104 Avenue","206-01 104 Avenue",,,false,true
nynyma_rec0040_4_10876_0048_w4.jpg,"1939-1941",Queens,10876,48.00,"20811","20811",false,"104 Avenue","20811 104 Avenue",,,false,true
nynyma_rec0040_4_10877_0077_w4.jpg,"1939-1941",Queens,10877,77.00,"10020","10020",true,"210 Street","10020 210 Street",,,false,true
nynyma_rec0040_4_10877_0084_w4.jpg,"1939-1941",Queens,10877,84.00,"10034","10034",true,"210 Street","10034 210 Street",,,false,true
nynyma_rec0040_4_10878_0016_w4.jpg,"1939-1941",Queens,10878,16.00,"10053","10053",false,"210 Street","10053 210 Street",,,false,true
nynyma_rec0040_4_10878_0077_w4.jpg,"1939-1941",Queens,10878,77.00,"9938","9938",true,"211 Street","9938 211 Street",,,false,true
nynyma_rec0040_4_10880_0015_w4.jpg,"1939-1941",Queens,10880,15.00,"9959","9959",false,"211 Place","9959 211 Place",,,false,true
nynyma_rec0040_4_10881_0012_w4.jpg,"1939-1941",Queens,10881,12.00,"10421","10421",false,Farmers Boulevard,"10421 Farmers Boulevard",,,false,true
nynyma_rec0040_4_10884_0019_w4.jpg,"1939-1941",Queens,10884,19.00,"10525","10525",false,Farmers Boulevard,"10525 Farmers Boulevard",,,false,true
nynyma_rec0040_4_10884_0029_w4.jpg,"1939-1941",Queens,10884,29.00,"10507","10507",false,Farmers Boulevard,"10507 Farmers Boulevard",,,false,true
nynyma_rec0040_4_10887_0148_w4.jpg,"1939-1941",Queens,10887,148.00,"10424","10424",true,"194 Street","10424 194 Street",,,false,true
nynyma_rec0040_4_10893_0025_w4.jpg,"1939-1941",Queens,10893,25.00,"10442","10442",true,"198 Street","10442 198 Street",,,false,true
nynyma_rec0040_4_10893_0039_w4.jpg,"1939-1941",Queens,10893,39.00,"19707","19707",false,Hollis Avenue,"19707 Hollis Avenue",,,false,true
nynyma_rec0040_4_10896_0046_w4.jpg,"1939-1941",Queens,10896,46.00,"10425","10425",false,"200 Street","10425 200 Street",,,false,true
nynyma_rec0040_4_10896_0043_w4.jpg,"1939-1941",Queens,10896,43.00,"10429","10429",false,"200 Street","10429 200 Street",,,false,true
nynyma_rec0040_4_10897_0031_w4.jpg,"1939-1941",Queens,10897,31.00,"20111","20111",false,"109 Avenue","20111 109 Avenue",,,false,true
nynyma_rec0040_4_10897_0038_w4.jpg,"1939-1941",Queens,10897,38.00,"10443","10443",false,"201 Street","10443 201 Street",,,false,true
nynyma_rec0040_4_10899_0017_w4.jpg,"1939-1941",Queens,10899,17.00,"19906","19906",true,"109 Avenue","19906 109 Avenue",,,false,true
nynyma_rec0040_4_10864_0028_w4.jpg,"1939-1941",Queens,10864,28.00,"10046","10046",true,"198 Street","10046 198 Street",,,false,true
nynyma_rec0040_4_10885_0007_w4.jpg,"1939-1941",Queens,10885,7.00,"19101","19101",false,"191 Street","19101 191 Street",,,false,true
nynyma_rec0040_4_10888_0027_w4.jpg,"1939-1941",Queens,10888,27.00,"10441","10441",false,"194 Street","10441 194 Street",,,false,true
nynyma_rec0040_4_10892_0020_w4.jpg,"1939-1941",Queens,10892,20.00,"10420","10420",true,"197 Street","10420 197 Street",,,false,true
nynyma_rec0040_4_10873_0016_w4.jpg,"1939-1941",Queens,10873,16.00,"10022","10022",true,Francis Lewis Boulevard,"10022 Francis Lewis Boulevard",,,false,true
nynyma_rec0040_4_10884_0010_w4.jpg,"1939-1941",Queens,10884,10.00,"10543","10543",false,Farmers Boulevard,"10543 Farmers Boulevard",,,false,true
nynyma_rec0040_4_10885_0036_w4.jpg,"1939-1941",Queens,10885,36.00,"10512","10512",true,"192 Street","10512 192 Street",,,false,true
nynyma_rec0040_4_10879_0004_w4.jpg,"1939-1941",Queens,10879,4.00,"21108","21108",true,"99 Avenue","21108 99 Avenue",,,false,true
nynyma_rec0040_4_10883_0006_w4.jpg,"1939-1941",Queens,10883,6.00,"19209","19209",false,"105 Avenue","19209 105 Avenue",,,false,true
nynyma_rec0040_4_10886_0015_w4.jpg,"1939-1941",Queens,10886,15.00,"10515","10515",false,"192 Street","10515 192 Street",,,false,true
nynyma_rec0040_4_10887_0050_w4.jpg,"1939-1941",Queens,10887,50.00,"10446","10446",true,"194 Street","10446 194 Street",,,false,true
nynyma_rec0040_4_10887_0149_w4.jpg,"1939-1941",Queens,10887,149.00,"10432","10432",true,"194 Street","10432 194 Street",,,false,true
nynyma_rec0040_4_10887_0018_w4.jpg,"1939-1941",Queens,10887,18.00,"10505","10505",false,"193 Street","10505 193 Street",,,false,true
nynyma_rec0040_4_10892_0022b_w4.jpg,"1939-1941",Queens,10892,22.00,"10432","10432",true,"197 Street","10432 197 Street",,,false,true
nynyma_rec0040_4_10901_0018_w4.jpg,"1939-1941",Queens,10901,18.00,"10924","10924",true,"202 Street","10924 202 Street",,,false,true
nynyma_rec0040_4_10902_0036_w4.jpg,"1939-1941",Queens,10902,36.00,"20203","20203",false,"109 Avenue","20203 109 Avenue",,,false,true
nynyma_rec0040_4_10902_0037_w4.jpg,"1939-1941",Queens,10902,37.00,"20201","20201",false,"109 Avenue","20201 109 Avenue",,,false,true
nynyma_rec0040_4_10901_0040_w4.jpg,"1939-1941",Queens,10901,40.00,"10929","10929",false,"201 Street","10929 201 Street",,,false,true
nynyma_rec0040_4_10901_0045_w4.jpg,"1939-1941",Queens,10901,45.00,"10919","10919",false,"201 Street","10919 201 Street",,,false,true
nynyma_rec0040_4_10903_0039_w4.jpg,"1939-1941",Queens,10903,39.00,"10437","10437",false,"203 Street","10437 203 Street",,,false,true
nynyma_rec0040_4_10902_0024_w4.jpg,"1939-1941",Queens,10902,24.00,"10432","10432",true,"203 Street","10432 203 Street",,,false,true
nynyma_rec0040_4_10903_0036_w4.jpg,"1939-1941",Queens,10903,36.00,"10445","10445",false,"203 Street","10445 203 Street",,,false,true
